time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
41.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
41.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
42;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
42.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
42.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
42.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
42.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
43;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
43.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
43.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
43.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
43.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
44;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
44.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
44.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
44.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
44.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
45;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
45.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
45.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
45.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
45.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
46;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
46.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
46.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
46.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
